ProdutoID;Produtos;Subcategoria;Categoria;VendalD;Data;ProdutoID;Quantidade;Receita;Custo;Lucro;Regiao;Vendedor;Tipo Perda;Valor Perda;Status da Venda;
24;Mouse Gamer Redragon;Acessórios;Informática;1;07/03/2018;24;10;R$ 48.940,00;R$ 34.258,00;R$ 14.682,00;Norte;Juliana;Cancelamento;R$ 325,00;Com Perda;
20;Notebook Lenovo ThinkPad;Notebooks;Informática;14;09/11/2015;20;7;R$ 19.782,00;R$ 9.891,00;R$ 9.891,00;Sul;Lucas;Sem perda;R$ 0,00;Com Perda;
27;Headset Gamer HyperX;Acessórios;Informática;22;01/10/2017;27;6;R$ 12.810,00;R$ 9.095,10;R$ 3.714,90;Sul;Bruno;Desconto;R$ 136,00;Com Perda;
1;iPhone 13;Smartphones;Eletrônicos;55;23/10/2021;1;8;R$ 28.104,00;R$ 19.391,76;R$ 8.712,24;Nordeste;Carlos;Cancelamento;R$ 383,00;Com Perda;
33;Geladeira Samsung;Eletrodomésticos;Casa;25;10/12/2025;33;6;R$ 8.124,00;R$ 5.930,52;R$ 2.193,48;Norte;Paula;Sem perda;R$ 0,00;Com Perda;
63;Vestido Social;Roupas;Roupas;14;16/02/2016;63;10;R$ 1.560,00;R$ 873,60;R$ 686,40;Norte;Marcos;Devolução;R$ 95,00;Com Perda;
58;Camisa Polo;Roupas;Roupas;78;15/12/2022;58;9;R$ 25.047,00;R$ 19.536,66;R$ 5.510,34;Sul;Lucas;Desconto;R$ 449,00;Com Perda;
23;Mouse Logitech;Acessórios;Informática;62;23/12/2025;23;7;R$ 17.689,00;R$ 13.620,53;R$ 4.068,47;Norte;Marcos;Devolução;R$ 135,00;Com Perda;
93;Monitor Samsung 27;Informática;Informática;69;23/06/2016;93;4;R$ 5.728,00;R$ 3.952,32;R$ 1.775,68;Nordeste;Fernanda;Devolução;R$ 59,00;Com Perda;
4;Samsung Galaxy S21;Smartphones;Eletrônicos;12;22/02/2016;4;6;R$ 21.510,00;R$ 15.057,00;R$ 6.453,00;Nordeste;Carlos;Sem perda;R$ 0,00;Com Perda;
99;Pen Drive 128GB;Informática;Informática;68;08/11/2020;99;2;R$ 3.774,00;R$ 2.339,88;R$ 1.434,12;Sudeste;Pedro;Sem perda;R$ 0,00;Com Perda;
23;Mouse Logitech;Acessórios;Informática;55;07/11/2021;23;9;R$ 38.511,00;R$ 29.268,36;R$ 9.242,64;Sul;Maria;Desconto;R$ 442,00;Com Perda;
95;Switch de Rede;Informática;Informática;12;06/06/2021;95;4;R$ 12.880,00;R$ 7.728,00;R$ 5.152,00;Sul;Lucas;Desconto;R$ 344,00;Com Perda;
93;Monitor Samsung 27;Informática;Informática;56;03/12/2016;93;2;R$ 1.192,00;R$ 905,92;R$ 286,08;Sul;Lucas;Devolução;R$ 425,00;Com Perda;
51;Tênis Nike;Calçados;Calçados;7;10/10/2015;51;3;R$ 14.265,00;R$ 7.703,10;R$ 6.561,90;Nordeste;Rafael;Cancelamento;R$ 103,00;Com Perda;
29;Webcam HD Logitech;Acessórios;Informática;75;11/02/2019;29;9;R$ 2.574,00;R$ 2.033,46;R$ 540,54;Sul;Maria;Sem perda;R$ 0,00;Com Perda;
79;Pneu Aro 17;Automotivo;Automotivo;75;17/05/2022;79;9;R$ 17.523,00;R$ 13.317,48;R$ 4.205,52;Sul;Bruno;Devolução;R$ 302,00;Com Perda;
59;Camiseta Básica;Roupas;Roupas;80;04/12/2023;59;3;R$ 14.211,00;R$ 10.658,25;R$ 3.552,75;Sul;Lucas;Cancelamento;R$ 331,00;Com Perda;
88;Estojo Escolar;Papelaria;Papelaria;59;04/08/2020;88;7;R$ 4.998,00;R$ 2.748,90;R$ 2.249,10;Norte;Juliana;Sem perda;R$ 0,00;Com Perda;
98;Pen Drive 64GB;Informática;Informática;84;16/04/2015;98;8;R$ 39.488,00;R$ 24.087,68;R$ 15.400,32;Norte;Paula;Desconto;R$ 59,00;Com Perda;
21;MacBook Air;Notebooks;Informática;41;28/05/2022;21;1;R$ 3.630,00;R$ 2.105,40;R$ 1.524,60;Centro-Oeste;André;Sem perda;R$ 0,00;Com Perda;
28;Headset Gamer Logitech;Acessórios;Informática;39;15/01/2018;28;10;R$ 36.760,00;R$ 23.894,00;R$ 12.866,00;Sul;Maria;Desconto;R$ 489,00;Com Perda;
61;Jaqueta de Couro;Roupas;Roupas;22;03/04/2019;61;2;R$ 4.904,00;R$ 3.825,12;R$ 1.078,88;Sul;Lucas;Desconto;R$ 73,00;Com Perda;
53;Tênis Puma;Calçados;Calçados;59;23/11/2024;53;7;R$ 22.386,00;R$ 11.864,58;R$ 10.521,42;Norte;Juliana;Devolução;R$ 392,00;Com Perda;
89;Impressora HP;Informática;Informática;39;01/04/2019;89;5;R$ 13.575,00;R$ 10.317,00;R$ 3.258,00;Centro-Oeste;André;Desconto;R$ 495,00;Com Perda;
98;Pen Drive 64GB;Informática;Informática;32;02/10/2021;98;10;R$ 45.220,00;R$ 32.558,40;R$ 12.661,60;Sudeste;Pedro;Cancelamento;R$ 440,00;Com Perda;
42;Sofá 2 Lugares;Móveis;Casa;51;26/05/2017;42;6;R$ 27.054,00;R$ 19.749,42;R$ 7.304,58;Sul;Maria;Devolução;R$ 313,00;Com Perda;
8;Xiaomi Redmi Note 12;Smartphones;Eletrônicos;19;12/04/2021;8;3;R$ 11.172,00;R$ 6.144,60;R$ 5.027,40;Nordeste;Rafael;Sem perda;R$ 0,00;Com Perda;
74;Halter 10kg;Esportes;Esportes;96;01/05/2018;74;3;R$ 8.073,00;R$ 4.036,50;R$ 4.036,50;Sudeste;João;Devolução;R$ 312,00;Com Perda;
40;Máquina de Lavar Brastemp;Eletrodomésticos;Casa;39;09/07/2022;40;2;R$ 200,00;R$ 118,00;R$ 82,00;Sul;Lucas;Desconto;R$ 449,00;Com Perda;
41;Máquina de Lavar Electrolux;Eletrodomésticos;Casa;57;25/01/2021;41;9;R$ 8.271,00;R$ 5.872,41;R$ 2.398,59;Nordeste;Rafael;Desconto;R$ 186,00;Com Perda;
63;Vestido Social;Roupas;Roupas;18;17/07/2015;63;10;R$ 12.300,00;R$ 9.717,00;R$ 2.583,00;Norte;Paula;Desconto;R$ 361,00;Com Perda;
21;MacBook Air;Notebooks;Informática;84;07/02/2023;21;10;R$ 4.540,00;R$ 3.314,20;R$ 1.225,80;Sul;Lucas;Desconto;R$ 316,00;Com Perda;
3;iPhone 15;Smartphones;Eletrônicos;34;21/01/2025;3;9;R$ 44.118,00;R$ 22.500,18;R$ 21.617,82;Sudeste;Ana;Desconto;R$ 340,00;Com Perda;
33;Geladeira Samsung;Eletrodomésticos;Casa;50;06/01/2025;33;8;R$ 8.184,00;R$ 5.974,32;R$ 2.209,68;Norte;Marcos;Sem perda;R$ 0,00;Com Perda;
15;Smart TV TCL 43;TVs;Eletrônicos;7;22/12/2019;15;6;R$ 9.654,00;R$ 7.143,96;R$ 2.510,04;Sul;Bruno;Sem perda;R$ 0,00;Com Perda;
61;Jaqueta de Couro;Roupas;Roupas;33;03/05/2017;61;7;R$ 12.789,00;R$ 6.650,28;R$ 6.138,72;Centro-Oeste;Diego;Sem perda;R$ 0,00;Com Perda;
90;Impressora Epson;Informática;Informática;29;09/10/2021;90;9;R$ 43.335,00;R$ 33.801,30;R$ 9.533,70;Norte;Juliana;Devolução;R$ 323,00;Com Perda;
99;Pen Drive 128GB;Informática;Informática;23;02/11/2016;99;10;R$ 6.640,00;R$ 3.851,20;R$ 2.788,80;Sul;Bruno;Sem perda;R$ 0,00;Com Perda;
65;Perfume Feminino;Beleza;Beleza;20;04/10/2023;65;3;R$ 11.400,00;R$ 7.182,00;R$ 4.218,00;Sul;Bruno;Cancelamento;R$ 418,00;Com Perda;
38;Fogão 4 bocas;Eletrodomésticos;Casa;37;09/06/2020;38;10;R$ 48.810,00;R$ 25.381,20;R$ 23.428,80;Nordeste;Fernanda;Cancelamento;R$ 418,00;Com Perda;
66;Creme Facial;Beleza;Beleza;39;07/03/2025;66;10;R$ 16.680,00;R$ 9.507,60;R$ 7.172,40;Sul;Lucas;Devolução;R$ 218,00;Com Perda;
89;Impressora HP;Informática;Informática;31;10/09/2015;89;2;R$ 2.904,00;R$ 1.684,32;R$ 1.219,68;Nordeste;Rafael;Sem perda;R$ 0,00;Com Perda;
25;Teclado Mecânico Redragon;Acessórios;Informática;74;09/05/2017;25;9;R$ 35.370,00;R$ 19.453,50;R$ 15.916,50;Norte;Marcos;Sem perda;R$ 0,00;Com Perda;
41;Máquina de Lavar Electrolux;Eletrodomésticos;Casa;21;27/11/2022;41;7;R$ 28.644,00;R$ 20.910,12;R$ 7.733,88;Centro-Oeste;Carla;Desconto;R$ 480,00;Com Perda;
8;Xiaomi Redmi Note 12;Smartphones;Eletrônicos;15;21/04/2024;8;2;R$ 9.262,00;R$ 5.557,20;R$ 3.704,80;Sudeste;Ana;Devolução;R$ 146,00;Com Perda;
49;Cama Box Casal;Móveis;Casa;75;23/11/2015;49;1;R$ 3.036,00;R$ 2.368,08;R$ 667,92;Sul;Lucas;Devolução;R$ 80,00;Com Perda;
84;Caderno Espiral;Papelaria;Papelaria;40;18/01/2022;84;9;R$ 16.146,00;R$ 8.718,84;R$ 7.427,16;Norte;Paula;Desconto;R$ 68,00;Com Perda;
52;Tênis Adidas;Calçados;Calçados;94;19/01/2019;52;9;R$ 7.272,00;R$ 4.363,20;R$ 2.908,80;Norte;Juliana;Sem perda;R$ 0,00;Com Perda;
76;Bicicleta Ergométrica;Esportes;Esportes;60;24/05/2015;76;5;R$ 19.620,00;R$ 12.360,60;R$ 7.259,40;Nordeste;Fernanda;Desconto;R$ 236,00;Com Perda;
28;Headset Gamer Logitech;Acessórios;Informática;71;06/06/2024;28;5;R$ 23.945,00;R$ 14.127,55;R$ 9.817,45;Nordeste;Fernanda;Cancelamento;R$ 307,00;Com Perda;
13;Smart TV Samsung 50;TVs;Eletrônicos;15;11/07/2019;13;6;R$ 20.754,00;R$ 12.659,94;R$ 8.094,06;Sudeste;João;Devolução;R$ 273,00;Com Perda;
72;Bola de Vôlei;Esportes;Esportes;100;17/09/2022;72;8;R$ 39.312,00;R$ 27.125,28;R$ 12.186,72;Centro-Oeste;André;Desconto;R$ 135,00;Com Perda;
62;Vestido Casual;Roupas;Roupas;84;23/09/2020;62;5;R$ 15.435,00;R$ 9.724,05;R$ 5.710,95;Sudeste;Ana;Devolução;R$ 226,00;Com Perda;
23;Mouse Logitech;Acessórios;Informática;27;14/08/2023;23;3;R$ 13.242,00;R$ 9.931,50;R$ 3.310,50;Sudeste;João;Desconto;R$ 234,00;Com Perda;
56;Chinelo Havaianas;Calçados;Calçados;50;27/06/2021;56;7;R$ 27.587,00;R$ 18.759,16;R$ 8.827,84;Nordeste;Rafael;Cancelamento;R$ 157,00;Com Perda;
